# ua_blacklist.txt v1.0 — языковой гейт канона UA COD (машинный grep, case-insensitive)
# Формат: термин | замена | класс
# Классы: RU (русизм/калька), MT (машинно-переводное/AI-клише), PUR (пуризм, слишком книжно для масс-лендинга)
# «наразі» в список НЕ входит — живое нейтральное слово (решение консилиума).

## --- RU: русизмы и кальки (44) ---
заказ | замовлення | RU
заказати | замовити | RU
на протязі | протягом | RU
слідуючий | наступний | RU
приймати участь | брати участь | RU
у якості | як | RU
даний | цей | RU
співпадає | збігається | RU
співпадіння | збіг | RU
відмінити | скасувати | RU
відміна | скасування | RU
любий (у знач. будь-який) | будь-який | RU
самий кращий | найкращий | RU
самий ефективний | найефективніший | RU
не дивлячись на | попри | RU
у відповідності з | відповідно до | RU
згідно чого | згідно з | RU
получити | отримати | RU
получення | отримання | RU
являється | є | RU
заключається | полягає | RU
відноситься до | стосується | RU
приведе до | призведе до | RU
поступає | надходить | RU
поступлення | надходження | RU
загружати | завантажувати | RU
корзина | кошик | RU
міроприємство | захід | RU
багаточисельний | численний | RU
обезболюючий | знеболювальний | RU
миючий засіб | мийний засіб | RU
діюча речовина | діюча→активна речовина | RU
існуючий | наявний | RU
рахувати що | вважати що | RU
вірно (у знач. правильно) | правильно | RU
помилково вірний | правильний | RU
скидка | знижка | RU
в наличии | в наявності | RU
наличными | готівкою | RU
покупатель | покупець | RU
продавец | продавець | RU
отзывы | відгуки | RU
подарок | подарунок | RU
бесплатно | безкоштовно | RU
# regex-строки (грепать отдельно как regex):
REGEX:[ыэёъЫЭЁЪ] | російська абетка в тексті | RU
REGEX:\+7[\s\-(]?\d{3} | російський телефонний код | RU
REGEX:₽ | рублі | RU

## --- MT: машинно-переводные и AI-клише (24) ---
даний продукт | назвіть продукт по імені | MT
інноваційна формула | конкретний механізм з числом/назвою | MT
є ідеальним рішенням | конкретна вигода | MT
ідеально підходить для | кому саме і чому | MT
напряму без посередників | конкретика походження | MT
унікальна технологія | назва технології + що робить | MT
революційний | конкретний результат | MT
найкращий вибір для вас | причина вибору | MT
широкий асортимент | — | MT
індивідуальний підхід | — | MT
команда професіоналів | імена/факти | MT
багаторічний досвід | число років + чого саме | MT
високоякісні матеріали | які матеріали | MT
за доступною ціною | ціна цифрою | MT
гарантія якості | умови гарантії | MT
поспішайте придбати | чесний дедлайн або нічого | MT
не втрачайте можливість | — | MT
не упустіть шанс | — | MT
задовольнить найвибагливіших | — | MT
преміальна якість | вимірна ознака | MT
забезпечує максимальний результат | результат числом/фото | MT
ваш надійний помічник | — | MT
подаруйте собі | — | MT
зробіть крок до | — | MT

## --- PUR: пуризмы, чужие масс-регистру товарки (10) ---
світлина | фото | PUR
слухавка (в копі лендінгу) | телефон / дзвінок | PUR
крамниця | магазин | PUR
часопис | журнал | PUR
летовище | аеропорт | PUR
наплічник | рюкзак | PUR
ґатунок | якість / сорт | PUR
царина | сфера | PUR
либонь | мабуть | PUR
далебі | справді | PUR
